mech,hidden_feats,dropout,lr,weight_decay,epochs_per_batch,buffer_size,ewc_lam,si_c,method,avg_acc,batch1_acc,batch2_acc,batch3_acc,batch4_acc,batch5_acc,batch6_acc
rehearsal,256,0.5,0.0001,0.0001,120,10000,1000.0,2.0,random,0.926928648935417,0.9587351778656127,0.9539203228940878,0.9229645465882772,0.9230598328576556,0.8907504937458854,0.9121415196609836
rehearsal,128,0.0,0.001,1e-05,60,5000,2000.0,5.0,random,0.8725493193145328,0.9839525691699604,0.9622542790941027,0.8570105113130233,0.812349392442705,0.8061553653719552,0.8135737984954502
rehearsal,256,0.3,0.0005,0.0,120,5000,1000.0,5.0,random,0.8688785885605254,0.9898616600790514,0.9163054039913296,0.8164261535720648,0.8166561276981184,0.8181863067807769,0.855835879241812
ewc,256,0.0,0.0001,0.0,60,2000,500.0,10.0,random,0.2826265190248417,0.5519762845849803,0.4196128260707078,0.22693746659540354,0.18358313537162682,0.1934660961158657,0.12018330541046615
ewc,128,0.5,0.0001,1e-05,90,5000,2000.0,2.0,random,0.7211774636591851,0.9633794466403162,0.9116899618805591,0.7632638517726705,0.6636303043768051,0.5673140223831468,0.45778719490161296
ewc,64,0.5,0.0005,0.0001,120,2000,1000.0,5.0,random,0.18431619835583377,0.8343478260869566,0.05605800134539203,0.04537680384820952,0.08480166800540051,0.08212639894667545,0.0031864919023685163
ewc,64,0.5,0.001,1e-05,120,5000,2000.0,5.0,random,0.20508976550923083,0.9796442687747036,0.06050526945212647,0.08095492606449314,0.07675217473040179,0.03067807768268598,0.0020038763509740154
ewc,128,0.5,0.0005,0.0,120,10000,2000.0,10.0,random,0.24149047267549065,0.9602766798418972,0.21580461917931085,0.04664172456796722,0.08411805923469998,0.10195852534562212,0.04014322788344667
ewc,64,0.3,0.0001,1e-05,90,10000,2000.0,10.0,random,0.4702924871734331,0.9289525691699605,0.6572426937738246,0.5015856048458934,0.2881069164117376,0.24822251481237656,0.19764462402680597
ewc,128,0.3,0.0001,1e-05,120,10000,1000.0,2.0,random,0.1917171637775887,0.9027272727272727,0.054488377307721055,0.05195082843399252,0.04927110214824056,0.048765635286372615,0.04309976676193292
ewc,128,0.3,0.0005,0.0001,90,2000,1000.0,5.0,random,0.2170022623622965,0.9451185770750988,0.054488377307721055,0.08202387315161233,0.08502384085587818,0.0977123107307439,0.03764659505272494
ewc,128,0.0,0.001,0.0001,60,10000,500.0,10.0,random,0.3232482428846193,0.9790118577075099,0.7518872860452949,0.08186353108854445,0.08507511151368072,0.03964779460171165,0.0020038763509740154
ewc,128,0.0,0.0005,1e-05,120,10000,2000.0,5.0,random,0.2542579544115075,0.9789920948616601,0.30402122729650943,0.07748084803135578,0.07294105583374634,0.09010862409479921,0.0020038763509740154
ewc,128,0.0,0.001,0.0001,120,10000,1000.0,10.0,random,0.2045932043547998,0.9944071146245059,0.054488377307721055,0.04657046142882594,0.0766496334147967,0.053439763001974984,0.0020038763509740154
ewc,128,0.5,0.0001,0.0001,60,2000,500.0,10.0,random,0.13076648640404695,0.6476482213438736,0.05508632932207191,0.02756101906288972,0.02348196127356314,0.02022712310730744,0.010594264314575736
si,256,0.3,0.0001,0.0,90,5000,500.0,5.0,random,0.26490305838880623,0.9096837944664031,0.2861200388668809,0.08095492606449314,0.11412848426845316,0.13090849242922975,0.06762261423737723
si,64,0.3,0.0001,1e-05,60,5000,500.0,2.0,random,0.3994897714132189,0.5468577075098814,0.5170416324089991,0.44858364510956705,0.36186830277032456,0.2718235681369322,0.25076377254360893
si,256,0.0,0.0001,0.0,60,2000,1000.0,10.0,random,0.19627305207980172,0.8776086956521739,0.07037147768891547,0.06194548369855692,0.05744022695811187,0.05414746543778802,0.05612496304326402
si,256,0.0,0.0001,1e-05,60,2000,500.0,2.0,random,0.16829185062345378,0.5753557312252965,0.08638538007324913,0.06117940495278817,0.08784372703501786,0.10424621461487821,0.09474064583949279
