mech,hidden_feats,dropout,lr,weight_decay,epochs_per_batch,buffer_size,ewc_lam,si_c,num_heads,feat_drop,attn_drop,method,avg_acc,batch1_acc,batch2_acc,batch3_acc,batch4_acc,batch5_acc,batch6_acc
si,128,0.0,0.001,1e-05,60,10000,500.0,5.0,1,0.0,0.2,random,0.2031804818318257,0.9803557312252964,0.054488377307721055,0.06730803491893818,0.0783073846837455,0.03661948650427913,0.0020038763509740154
si,64,0.0,0.001,0.0001,60,2000,500.0,5.0,1,0.0,0.0,random,0.2590277162182154,0.8958300395256917,0.22623140742955378,0.12203812577944058,0.16876591526669288,0.10390059249506255,0.03740021681285109
si,64,0.3,0.0001,0.0,60,10000,1000.0,10.0,1,0.0,0.2,random,0.1396015571213057,0.13197628458498023,0.16533373196800957,0.1172813112417602,0.14413890930220635,0.14522712310730743,0.1336519825235702
si,256,0.0,0.0005,1e-05,120,10000,1000.0,2.0,1,0.0,0.0,random,0.23531144559029107,0.9876877470355732,0.1994730547873533,0.04657046142882594,0.08066583494266232,0.07593811718235681,0.02153345816497487
si,128,0.0,0.0005,0.0001,90,5000,1000.0,5.0,1,0.0,0.2,random,0.20162617762522403,0.9747233201581028,0.051405187233724496,0.06085872082665241,0.08533146480269342,0.03543449637919684,0.0020038763509740154
si,128,0.3,0.0005,1e-05,90,5000,1000.0,5.0,4,0.0,0.0,random,0.2565706848775622,0.9918181818181818,0.3772890350549368,0.0499554605380367,0.08206723292259839,0.036290322580645164,0.0020038763509740154
si,256,0.0,0.0001,0.0,60,5000,500.0,10.0,2,0.2,0.2,random,0.2071381725260151,0.9606324110671937,0.07693026384632633,0.06581150899697132,0.05986703809409875,0.07758393680052666,0.0020038763509740154
gen_replay,128,0.0,0.0005,0.0001,120,10000,2000.0,2.0,1,0.0,0.0,random,0.9354339415387267,0.985909090909091,0.9705321772927723,0.9244254409406735,0.9236579905320186,0.9054312047399605,0.9026477448178444
gen_replay,128,0.3,0.0001,1e-05,90,10000,2000.0,2.0,2,0.2,0.0,random,0.8615408664198935,0.8006521739130434,0.8995627475895059,0.9115624443256726,0.8153230905952523,0.8545589203423305,0.887585821753556
gen_replay,128,0.3,0.0001,1e-05,120,10000,2000.0,2.0,1,0.0,0.2,random,0.7690102284079283,0.656403162055336,0.7079378129905075,0.8383930162123642,0.709449182233008,0.8258064516129032,0.8760717453434512
gen_replay,64,0.0,0.001,0.0001,60,2000,2000.0,10.0,2,0.2,0.0,random,0.6235321999191866,0.980197628458498,0.7030233948725615,0.6029930518439337,0.5256096935723685,0.47434167215273204,0.4550277586150258
gen_replay,128,0.0,0.0005,1e-05,90,5000,1000.0,5.0,2,0.0,0.0,random,0.864850404363398,0.9821343873517786,0.9400739965617759,0.8200605736682701,0.8157845265154752,0.7993581303489138,0.8316908117341743
gen_replay,256,0.0,0.0001,0.0001,90,10000,2000.0,5.0,4,0.0,0.0,random,0.9374041900251795,0.9784387351778656,0.9705321772927723,0.9230536255122038,0.9270760343855212,0.9131994733377222,0.9121250944449919
gen_replay,256,0.5,0.0005,0.0,120,5000,500.0,10.0,4,0.2,0.2,random,0.8587340838109934,0.9949209486166007,0.9730361013528664,0.8381792267949403,0.7856373797275819,0.7649769585253456,0.7956538878486252
gen_replay,64,0.0,0.0005,0.0001,90,2000,2000.0,5.0,2,0.0,0.0,random,0.6327945154140505,0.9353162055335968,0.8202780476866731,0.6438268305718867,0.47204894638798217,0.49947333772218566,0.42582372458197826
gen_replay,64,0.5,0.0005,0.0,60,10000,500.0,2.0,1,0.0,0.0,random,0.8336562969267902,0.9072332015810277,0.8335824800059796,0.79554605380367,0.8264830037769385,0.8054312047399605,0.8336618376531651
gen_replay,128,0.0,0.001,0.0,120,2000,2000.0,5.0,4,0.2,0.2,random,0.6622840521261576,0.9949604743083004,0.7869048508857164,0.7168893639764832,0.39606583152461844,0.4229756418696511,0.6559081501921751
gen_replay,128,0.5,0.0001,0.0001,120,2000,500.0,2.0,4,0.0,0.2,random,0.5101604565478693,0.979505928853755,0.7022198968532776,0.5712275075717085,0.33300292242749474,0.33069453587886766,0.14431194770211228
gen_replay,64,0.5,0.0005,0.0,90,5000,500.0,2.0,2,0.0,0.2,random,0.8210226802301875,0.9689328063241107,0.8900702593616863,0.7220559415642259,0.7673508451113428,0.7797399605003291,0.797986268519431
naive,128,0.5,0.0001,0.0001,60,5000,1000.0,10.0,2,0.0,0.0,bayes,0.23128655039497356,0.8639920948616601,0.2455340458928171,0.0638161411010155,0.07849537709568814,0.09628044766293614,0.03960119575572419
naive,128,0.3,0.0005,0.0,60,10000,1000.0,2.0,2,0.0,0.2,bayes,0.23992030893156868,0.9808695652173913,0.1876448165034756,0.08336005701051132,0.0853143745834259,0.10032916392363397,0.0020038763509740154
